listed_in,show_id,category_type
Comedies,80164456,Genre
Comedies,80174434,Genre
Comedies,80075476,Genre
Horror Movies,80158148,Genre
Crime TV Shows,80119451,Genre
Horror Movies,80239565,Genre
Documentaries,80216844,Genre
Docuseries,80187722,Genre
Horror Movies,81021082,Genre
Documentaries,80191047,Genre
TV Comedies,80201868,Genre
TV Dramas,80189221,Genre
Dramas,80240972,Genre
Comedies,80103282,Genre
Comedies,80134526,Genre
Music & Musicals,80127559,Genre
Children & Family Movies,80005501,Genre
Comedies,81132441,Genre
Dramas,81078819,Genre
Thrillers,80223997,Genre
Dramas,81191666,Genre
Dramas,81133621,Genre
Horror Movies,81038598,Genre
Dramas,81016322,Genre
Crime TV Shows,81015994,Genre
Docuseries,80198288,Genre
Dramas,80147323,Genre
Anime Series,81172568,Genre
International Movies,81171871,Genre
Anime Series,81019771,Genre
Dramas,80210932,Genre
Crime TV Shows,81003880,Genre
Cult Movies,81015317,Genre
Stand-Up Comedy,80205204,Genre
British TV Shows,70245168,Genre
British TV Shows,70235731,Genre
Stand-Up Comedy,80003481,Genre
Dramas,81168338,Genre
Horror Movies,81103033,Genre
Thrillers,60002273,Genre
Children & Family Movies,70297962,Genre
Action & Adventure,269880,Genre
Action & Adventure,60029167,Genre
Dramas,60020891,Genre
Cult Movies,347365,Genre
Action & Adventure,60003242,Genre
Action & Adventure,60027726,Genre
International TV Shows,81166946,Genre
International TV Shows,81167065,Genre
International TV Shows,81113888,Genre
Dramas,70023961,Genre
Comedies,60027716,Genre
Children & Family Movies,70287957,Genre
International TV Shows,81113890,Genre
Comedies,81168345,Genre
Action & Adventure,60020892,Genre
Dramas,81164752,Genre
International TV Shows,81113886,Genre
Children & Family Movies,60028097,Genre
Comedies,70065112,Genre
Comedies,70083108,Genre
Dramas,70184050,Genre
Classic Movies,81168347,Genre
Horror Movies,81003460,Genre
International TV Shows,81113887,Genre
Dramas,81168348,Genre
Sci-Fi & Fantasy,70095135,Genre
Documentaries,81191254,Genre
Children & Family Movies,81179400,Genre
Horror Movies,81168340,Genre
Action & Adventure,60023597,Genre
Kids' TV,81036448,Genre
Stand-Up Comedy,81002876,Genre
Comedies,70058017,Genre
Action & Adventure,70058024,Genre
Action & Adventure,70011211,Genre
Documentaries,70271599,Genre
Classic Movies,70020699,Genre
Children & Family Movies,60003540,Genre
Horror Movies,1181550,Genre
Documentaries,70170051,Genre
Crime TV Shows,80987077,Genre
Action & Adventure,70021630,Genre
Horror Movies,81043753,Genre
Action & Adventure,60001761,Genre
Action & Adventure,70041963,Genre
Children & Family Movies,70058025,Genre
Action & Adventure,70128696,Genre
Comedies,70077542,Genre
Comedies,81168342,Genre
Horror Movies,81165772,Genre
Children & Family Movies,510854,Genre
Children & Family Movies,60000921,Genre
International TV Shows,80188730,Genre
International TV Shows,81167083,Genre
Dramas,81168343,Genre
Dramas,70044605,Genre
Children & Family Movies,18021979,Genre
Dramas,81168344,Genre
Comedies,70020750,Genre
Dramas,70105596,Genre
Comedies,60037022,Genre
Action & Adventure,60034571,Genre
Crime TV Shows,81167047,Genre
Children & Family Movies,70053456,Genre
Dramas,80173150,Genre
Dramas,81168341,Genre
Classic Movies,81168346,Genre
Action & Adventure,80137461,Genre
Children & Family Movies,81012857,Genre
Horror Movies,70123116,Genre
Action & Adventure,80190101,Genre
Dramas,81024712,Genre
Dramas,70112494,Genre
Dramas,80215922,Genre
British TV Shows,81012415,Genre
Dramas,70113306,Genre
Dramas,70113305,Genre
International Movies,80032472,Genre
Dramas,81024703,Genre
British TV Shows,81012402,Genre
Comedies,70181653,Genre
Documentaries,80048200,Genre
Dramas,81025884,Genre
Dramas,80032474,Genre
Comedies,80032476,Genre
Dramas,70127589,Genre
Romantic TV Shows,80225696,Genre
Action & Adventure,80104130,Genre
Comedies,80032473,Genre
Action & Adventure,70090035,Genre
Comedies,81024713,Genre
Dramas,70117268,Genre
Stand-Up Comedy,70211216,Genre
Stand-Up Comedy,70140322,Genre
Dramas,81024696,Genre
Comedies,70303428,Genre
British TV Shows,81012407,Genre
Action & Adventure,70125882,Genre
Comedies,70101039,Genre
International Movies,70123121,Genre
Dramas,80152182,Genre
Comedies,70229042,Genre
Comedies,70042756,Genre
Comedies,80187618,Genre
Comedies,81024704,Genre
Action & Adventure,80221498,Genre
Action & Adventure,70229047,Genre
Action & Adventure,70229555,Genre
Comedies,70213515,Genre
Children & Family Movies,81018563,Genre
Children & Family Movies,81018565,Genre
Comedies,70114948,Genre
Action & Adventure,80190103,Genre
Dramas,81024729,Genre
